,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
72,M2R,North York,"Willowdale, Willowdale West",43.761509499999995,-79.4109234,1,Coffee Shop,Japanese Restaurant,Grocery Store,Burger Joint,Fast Food Restaurant,Pharmacy,Pizza Place,Sandwich Place,Gym,Bank
0,M3A,North York,Parkwoods,43.7587999,-79.32019659999999,1,Pharmacy,Pizza Place,Convenience Store,Bank,Laundry Service,Caribbean Restaurant,Discount Store,Coffee Shop,Gas Station,Shopping Mall
7,M3B,North York,Don Mills,43.775347,-79.3459439,1,Clothing Store,Coffee Shop,Japanese Restaurant,Restaurant,Fast Food Restaurant,Bakery,Convenience Store,Sandwich Place,Bank,Chinese Restaurant
13,M3C,North York,Don Mills,43.775347,-79.3459439,1,Clothing Store,Coffee Shop,Japanese Restaurant,Restaurant,Fast Food Restaurant,Bakery,Convenience Store,Sandwich Place,Bank,Chinese Restaurant
28,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.6655189,-79.4119373,1,Korean Restaurant,Grocery Store,Coffee Shop,Eastern European Restaurant,Bar,Café,Mexican Restaurant,Bakery,Ice Cream Shop,Spa
1,M4A,North York,Victoria Village,43.732658,-79.3111892,1,Spa,Mediterranean Restaurant,Bus Line,Thai Restaurant,Middle Eastern Restaurant,Fish & Chips Shop,Filipino Restaurant,Fast Food Restaurant,Farmers Market,Falafel Restaurant
8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7062977,-79.32190729999999,1,Pizza Place,Brewery,Gastropub,Rock Climbing Spot,Intersection,Soccer Stadium,Pharmacy,Falafel Restaurant,Event Space,Ethiopian Restaurant
19,M4E,East Toronto,The Beaches,43.6710244,-79.296712,1,Beach,Pizza Place,Thai Restaurant,Breakfast Spot,Café,Bar,Bakery,Japanese Restaurant,Park,Martial Arts Dojo
29,M4H,East York,Thorncliffe Park,43.704553000000004,-79.3454074,1,Indian Restaurant,Bank,Coffee Shop,Afghan Restaurant,Sandwich Place,Turkish Restaurant,Fast Food Restaurant,Burger Joint,Bus Line,Fried Chicken Joint
35,M4J,East York,"East Toronto, Broadview North (Old East York)",43.6534817,-79.38393470000001,1,Clothing Store,Coffee Shop,Plaza,Hotel,Sushi Restaurant,Cosmetics Shop,Bar,Office,Theater,Steakhouse
41,M4K,East Toronto,"The Danforth West, Riverdale",43.6864333,-79.30035550000001,1,Coffee Shop,Bus Line,Pharmacy,Grocery Store,Optical Shop,Sushi Restaurant,Fried Chicken Joint,Sandwich Place,Caribbean Restaurant,Café
47,M4L,East Toronto,"India Bazaar, The Beaches West",43.672223100000004,-79.3235032,1,Indian Restaurant,Café,Grocery Store,Bar,Gym,Snack Place,Brewery,Bistro,Egyptian Restaurant,Sandwich Place
54,M4M,East Toronto,Studio District,43.64958515,-79.39068322559326,1,Coffee Shop,Japanese Restaurant,Thai Restaurant,Bar,Cosmetics Shop,Pizza Place,Café,Hotel,Vegetarian / Vegan Restaurant,Bistro
